Brand,Model,Name,Fuel,Year,Month,Date,Sales
Toyota,RAV4 EV,Toyota RAV4 EV,BEV,2012,MAR,2012-03-01,0
Honda,Fit EV,Honda Fit EV,BEV,2012,MAR,2012-03-01,0
Chevrolet,Volt,Chevrolet Volt,PHEV,2012,APR,2012-04-01,1462
Toyota,Prius PHV,Toyota Prius PHV,PHEV,2012,APR,2012-04-01,1654
Nissan,LEAF,Nissan LEAF,BEV,2012,APR,2012-04-01,370
Tesla,Model S,Tesla Model S,BEV,2012,APR,2012-04-01,0
Ford,C-Max Energi,Ford C-Max Energi,PHEV,2012,APR,2012-04-01,0
Ford,Focus Electric,Ford Focus Electric,BEV,2012,APR,2012-04-01,0
Mitsubishi,i-MiEV,Mitsubishi i-MiEV,BEV,2012,APR,2012-04-01,79
Toyota,RAV4 EV,Toyota RAV4 EV,BEV,2012,APR,2012-04-01,0
Honda,Fit EV,Honda Fit EV,BEV,2012,APR,2012-04-01,0
Chevrolet,Volt,Chevrolet Volt,PHEV,2012,MAY,2012-05-01,1680
Toyota,Prius PHV,Toyota Prius PHV,PHEV,2012,MAY,2012-05-01,1086
Nissan,LEAF,Nissan LEAF,BEV,2012,MAY,2012-05-01,510
Tesla,Model S,Tesla Model S,BEV,2012,MAY,2012-05-01,0
Ford,C-Max Energi,Ford C-Max Energi,PHEV,2012,MAY,2012-05-01,0
Ford,Focus Electric,Ford Focus Electric,BEV,2012,MAY,2012-05-01,6
Mitsubishi,i-MiEV,Mitsubishi i-MiEV,BEV,2012,MAY,2012-05-01,85
Toyota,RAV4 EV,Toyota RAV4 EV,BEV,2012,MAY,2012-05-01,0
Honda,Fit EV,Honda Fit EV,BEV,2012,MAY,2012-05-01,0
Chevrolet,Volt,Chevrolet Volt,PHEV,2012,JUN,2012-06-01,1760
Toyota,Prius PHV,Toyota Prius PHV,PHEV,2012,JUN,2012-06-01,695
Nissan,LEAF,Nissan LEAF,BEV,2012,JUN,2012-06-01,535
Tesla,Model S,Tesla Model S,BEV,2012,JUN,2012-06-01,12
Ford,C-Max Energi,Ford C-Max Energi,PHEV,2012,JUN,2012-06-01,0
Ford,Focus Electric,Ford Focus Electric,BEV,2012,JUN,2012-06-01,89
Mitsubishi,i-MiEV,Mitsubishi i-MiEV,BEV,2012,JUN,2012-06-01,33
Toyota,RAV4 EV,Toyota RAV4 EV,BEV,2012,JUN,2012-06-01,0
Honda,Fit EV,Honda Fit EV,BEV,2012,JUN,2012-06-01,0
Chevrolet,Volt,Chevrolet Volt,PHEV,2012,JUL,2012-07-01,1849
Toyota,Prius PHV,Toyota Prius PHV,PHEV,2012,JUL,2012-07-01,688
Nissan,LEAF,Nissan LEAF,BEV,2012,JUL,2012-07-01,395
Tesla,Model S,Tesla Model S,BEV,2012,JUL,2012-07-01,19
Ford,C-Max Energi,Ford C-Max Energi,PHEV,2012,JUL,2012-07-01,0
Ford,Focus Electric,Ford Focus Electric,BEV,2012,JUL,2012-07-01,38
Mitsubishi,i-MiEV,Mitsubishi i-MiEV,BEV,2012,JUL,2012-07-01,33
Toyota,RAV4 EV,Toyota RAV4 EV,BEV,2012,JUL,2012-07-01,0
Honda,Fit EV,Honda Fit EV,BEV,2012,JUL,2012-07-01,7
Chevrolet,Volt,Chevrolet Volt,PHEV,2012,AUG,2012-08-01,2831
Toyota,Prius PHV,Toyota Prius PHV,PHEV,2012,AUG,2012-08-01,1047
Nissan,LEAF,Nissan LEAF,BEV,2012,AUG,2012-08-01,685
Tesla,Model S,Tesla Model S,BEV,2012,AUG,2012-08-01,43
Ford,C-Max Energi,Ford C-Max Energi,PHEV,2012,AUG,2012-08-01,0
Ford,Focus Electric,Ford Focus Electric,BEV,2012,AUG,2012-08-01,34
Mitsubishi,i-MiEV,Mitsubishi i-MiEV,BEV,2012,AUG,2012-08-01,37
Toyota,RAV4 EV,Toyota RAV4 EV,BEV,2012,AUG,2012-08-01,0
Honda,Fit EV,Honda Fit EV,BEV,2012,AUG,2012-08-01,9
Chevrolet,Volt,Chevrolet Volt,PHEV,2012,SEP,2012-09-01,2851
Toyota,Prius PHV,Toyota Prius PHV,PHEV,2012,SEP,2012-09-01,1652
Nissan,LEAF,Nissan LEAF,BEV,2012,SEP,2012-09-01,984
Tesla,Model S,Tesla Model S,BEV,2012,SEP,2012-09-01,86
Ford,C-Max Energi,Ford C-Max Energi,PHEV,2012,SEP,2012-09-01,0
Ford,Focus Electric,Ford Focus Electric,BEV,2012,SEP,2012-09-01,59
Mitsubishi,i-MiEV,Mitsubishi i-MiEV,BEV,2012,SEP,2012-09-01,36
Toyota,RAV4 EV,Toyota RAV4 EV,BEV,2012,SEP,2012-09-01,61
Honda,Fit EV,Honda Fit EV,BEV,2012,SEP,2012-09-01,16
Chevrolet,Volt,Chevrolet Volt,PHEV,2012,OCT,2012-10-01,2961
Toyota,Prius PHV,Toyota Prius PHV,PHEV,2012,OCT,2012-10-01,1889
Nissan,LEAF,Nissan LEAF,BEV,2012,OCT,2012-10-01,1579
Tesla,Model S,Tesla Model S,BEV,2012,OCT,2012-10-01,300
Ford,C-Max Energi,Ford C-Max Energi,PHEV,2012,OCT,2012-10-01,144
Ford,Focus Electric,Ford Focus Electric,BEV,2012,OCT,2012-10-01,118
Mitsubishi,i-MiEV,Mitsubishi i-MiEV,BEV,2012,OCT,2012-10-01,30
Toyota,RAV4 EV,Toyota RAV4 EV,BEV,2012,OCT,2012-10-01,47
Honda,Fit EV,Honda Fit EV,BEV,2012,OCT,2012-10-01,16
Chevrolet,Volt,Chevrolet Volt,PHEV,2012,NOV,2012-11-01,1519
Toyota,Prius PHV,Toyota Prius PHV,PHEV,2012,NOV,2012-11-01,1766
Nissan,LEAF,Nissan LEAF,BEV,2012,NOV,2012-11-01,539
Tesla,Model S,Tesla Model S,BEV,2012,NOV,2012-11-01,400
Ford,C-Max Energi,Ford C-Max Energi,PHEV,2012,NOV,2012-11-01,1259
Ford,Focus Electric,Ford Focus Electric,BEV,2012,NOV,2012-11-01,172
Mitsubishi,i-MiEV,Mitsubishi i-MiEV,BEV,2012,NOV,2012-11-01,42
Toyota,RAV4 EV,Toyota RAV4 EV,BEV,2012,NOV,2012-11-01,32
Honda,Fit EV,Honda Fit EV,BEV,2012,NOV,2012-11-01,26
Chevrolet,Volt,Chevrolet Volt,PHEV,2012,DEC,2012-12-01,2633
Toyota,Prius PHV,Toyota Prius PHV,PHEV,2012,DEC,2012-12-01,1361
Nissan,LEAF,Nissan LEAF,BEV,2012,DEC,2012-12-01,1489
Tesla,Model S,Tesla Model S,BEV,2012,DEC,2012-12-01,1790
Ford,C-Max Energi,Ford C-Max Energi,PHEV,2012,DEC,2012-12-01,971
Ford,Focus Electric,Ford Focus Electric,BEV,2012,DEC,2012-12-01,162
Mitsubishi,i-MiEV,Mitsubishi i-MiEV,BEV,2012,DEC,2012-12-01,77
Toyota,RAV4 EV,Toyota RAV4 EV,BEV,2012,DEC,2012-12-01,52
Honda,Fit EV,Honda Fit EV,BEV,2012,DEC,2012-12-01,19
Chevrolet,Volt,Chevrolet Volt,PHEV,2013,JAN,2013-01-01,1140
Nissan,LEAF,Nissan LEAF,BEV,2013,JAN,2013-01-01,650
Tesla,Model S,Tesla Model S,BEV,2013,JAN,2013-01-01,1200
Toyota,Prius PHV,Toyota Prius PHV,PHEV,2013,JAN,2013-01-01,874
Ford,C-Max Energi,Ford C-Max Energi,PHEV,2013,JAN,2013-01-01,338
Ford,Fusion Energi,Ford Fusion Energi,PHEV,2013,JAN,2013-01-01,0
Fiat,500e,Fiat 500e,BEV,2013,JAN,2013-01-01,0
Ford,Focus Electric,Ford Focus Electric,BEV,2013,JAN,2013-01-01,81
Toyota,RAV4 EV,Toyota RAV4 EV,BEV,2013,JAN,2013-01-01,25
Mitsubishi,i-MiEV,Mitsubishi i-MiEV,BEV,2013,JAN,2013-01-01,257
smart,ED,smart ED,BEV,2013,JAN,2013-01-01,2
Honda,Fit EV,Honda Fit EV,BEV,2013,JAN,2013-01-01,8
Chevrolet,Spark EV,Chevrolet Spark EV,BEV,2013,JAN,2013-01-01,0
Honda,Accord PHV,Honda Accord PHV,PHEV,2013,JAN,2013-01-01,2
Porsche,Panamera S-E,Porsche Panamera S-E,PHEV,2013,JAN,2013-01-01,0
Cadillac,ELR,Cadillac ELR,PHEV,2013,JAN,2013-01-01,0
Chevrolet,Volt,Chevrolet Volt,PHEV,2013,FEB,2013-02-01,1626
Nissan,LEAF,Nissan LEAF,BEV,2013,FEB,2013-02-01,653
Tesla,Model S,Tesla Model S,BEV,2013,FEB,2013-02-01,1400
Toyota,Prius PHV,Toyota Prius PHV,PHEV,2013,FEB,2013-02-01,693
Ford,C-Max Energi,Ford C-Max Energi,PHEV,2013,FEB,2013-02-01,334
Ford,Fusion Energi,Ford Fusion Energi,PHEV,2013,FEB,2013-02-01,119
Fiat,500e,Fiat 500e,BEV,2013,FEB,2013-02-01,0
Ford,Focus Electric,Ford Focus Electric,BEV,2013,FEB,2013-02-01,158
Toyota,RAV4 EV,Toyota RAV4 EV,BEV,2013,FEB,2013-02-01,52
Mitsubishi,i-MiEV,Mitsubishi i-MiEV,BEV,2013,FEB,2013-02-01,337
smart,ED,smart ED,BEV,2013,FEB,2013-02-01,0
Honda,Fit EV,Honda Fit EV,BEV,2013,FEB,2013-02-01,15
Chevrolet,Spark EV,Chevrolet Spark EV,BEV,2013,FEB,2013-02-01,0
Honda,Accord PHV,Honda Accord PHV,PHEV,2013,FEB,2013-02-01,17
Porsche,Panamera S-E,Porsche Panamera S-E,PHEV,2013,FEB,2013-02-01,0
Cadillac,ELR,Cadillac ELR,PHEV,2013,FEB,2013-02-01,0
Chevrolet,Volt,Chevrolet Volt,PHEV,2013,MAR,2013-03-01,1478
Nissan,LEAF,Nissan LEAF,BEV,2013,MAR,2013-03-01,2236
Tesla,Model S,Tesla Model S,BEV,2013,MAR,2013-03-01,2300
Toyota,Prius PHV,Toyota Prius PHV,PHEV,2013,MAR,2013-03-01,786
Ford,C-Max Energi,Ford C-Max Energi,PHEV,2013,MAR,2013-03-01,494
Ford,Fusion Energi,Ford Fusion Energi,PHEV,2013,MAR,2013-03-01,295
Fiat,500e,Fiat 500e,BEV,2013,MAR,2013-03-01,0
Ford,Focus Electric,Ford Focus Electric,BEV,2013,MAR,2013-03-01,180
Toyota,RAV4 EV,Toyota RAV4 EV,BEV,2013,MAR,2013-03-01,133
Mitsubishi,i-MiEV,Mitsubishi i-MiEV,BEV,2013,MAR,2013-03-01,31
smart,ED,smart ED,BEV,2013,MAR,2013-03-01,0
Honda,Fit EV,Honda Fit EV,BEV,2013,MAR,2013-03-01,23
Chevrolet,Spark EV,Chevrolet Spark EV,BEV,2013,MAR,2013-03-01,0
Honda,Accord PHV,Honda Accord PHV,PHEV,2013,MAR,2013-03-01,26
Porsche,Panamera S-E,Porsche Panamera S-E,PHEV,2013,MAR,2013-03-01,0
Cadillac,ELR,Cadillac ELR,PHEV,2013,MAR,2013-03-01,0
Chevrolet,Volt,Chevrolet Volt,PHEV,2013,APR,2013-04-01,1306
Nissan,LEAF,Nissan LEAF,BEV,2013,APR,2013-04-01,1937
Tesla,Model S,Tesla Model S,BEV,2013,APR,2013-04-01,2100
Toyota,Prius PHV,Toyota Prius PHV,PHEV,2013,APR,2013-04-01,599
Ford,C-Max Energi,Ford C-Max Energi,PHEV,2013,APR,2013-04-01,411
Ford,Fusion Energi,Ford Fusion Energi,PHEV,2013,APR,2013-04-01,364
Fiat,500e,Fiat 500e,BEV,2013,APR,2013-04-01,0
Ford,Focus Electric,Ford Focus Electric,BEV,2013,APR,2013-04-01,147
Toyota,RAV4 EV,Toyota RAV4 EV,BEV,2013,APR,2013-04-01,70
Mitsubishi,i-MiEV,Mitsubishi i-MiEV,BEV,2013,APR,2013-04-01,127
smart,ED,smart ED,BEV,2013,APR,2013-04-01,0
Honda,Fit EV,Honda Fit EV,BEV,2013,APR,2013-04-01,22
Chevrolet,Spark EV,Chevrolet Spark EV,BEV,2013,APR,2013-04-01,0
Honda,Accord PHV,Honda Accord PHV,PHEV,2013,APR,2013-04-01,55
Porsche,Panamera S-E,Porsche Panamera S-E,PHEV,2013,APR,2013-04-01,0
Cadillac,ELR,Cadillac ELR,PHEV,2013,APR,2013-04-01,0
Chevrolet,Volt,Chevrolet Volt,PHEV,2013,MAY,2013-05-01,1607
Nissan,LEAF,Nissan LEAF,BEV,2013,MAY,2013-05-01,2138
Tesla,Model S,Tesla Model S,BEV,2013,MAY,2013-05-01,1700
Toyota,Prius PHV,Toyota Prius PHV,PHEV,2013,MAY,2013-05-01,678
Ford,C-Max Energi,Ford C-Max Energi,PHEV,2013,MAY,2013-05-01,450
Ford,Fusion Energi,Ford Fusion Energi,PHEV,2013,MAY,2013-05-01,416
Fiat,500e,Fiat 500e,BEV,2013,MAY,2013-05-01,0
Ford,Focus Electric,Ford Focus Electric,BEV,2013,MAY,2013-05-01,157
Toyota,RAV4 EV,Toyota RAV4 EV,BEV,2013,MAY,2013-05-01,84
Mitsubishi,i-MiEV,Mitsubishi i-MiEV,BEV,2013,MAY,2013-05-01,91
smart,ED,smart ED,BEV,2013,MAY,2013-05-01,60
Honda,Fit EV,Honda Fit EV,BEV,2013,MAY,2013-05-01,15
Chevrolet,Spark EV,Chevrolet Spark EV,BEV,2013,MAY,2013-05-01,0
Honda,Accord PHV,Honda Accord PHV,PHEV,2013,MAY,2013-05-01,58
Porsche,Panamera S-E,Porsche Panamera S-E,PHEV,2013,MAY,2013-05-01,0
Cadillac,ELR,Cadillac ELR,PHEV,2013,MAY,2013-05-01,0
Chevrolet,Volt,Chevrolet Volt,PHEV,2013,JUN,2013-06-01,2698
Nissan,LEAF,Nissan LEAF,BEV,2013,JUN,2013-06-01,2225
Tesla,Model S,Tesla Model S,BEV,2013,JUN,2013-06-01,1350
Toyota,Prius PHV,Toyota Prius PHV,PHEV,2013,JUN,2013-06-01,584
Ford,C-Max Energi,Ford C-Max Energi,PHEV,2013,JUN,2013-06-01,455
Ford,Fusion Energi,Ford Fusion Energi,PHEV,2013,JUN,2013-06-01,390
Fiat,500e,Fiat 500e,BEV,2013,JUN,2013-06-01,0
Ford,Focus Electric,Ford Focus Electric,BEV,2013,JUN,2013-06-01,177
Toyota,RAV4 EV,Toyota RAV4 EV,BEV,2013,JUN,2013-06-01,44
Mitsubishi,i-MiEV,Mitsubishi i-MiEV,BEV,2013,JUN,2013-06-01,39
smart,ED,smart ED,BEV,2013,JUN,2013-06-01,53
Honda,Fit EV,Honda Fit EV,BEV,2013,JUN,2013-06-01,208
Chevrolet,Spark EV,Chevrolet Spark EV,BEV,2013,JUN,2013-06-01,27
Honda,Accord PHV,Honda Accord PHV,PHEV,2013,JUN,2013-06-01,42
Porsche,Panamera S-E,Porsche Panamera S-E,PHEV,2013,JUN,2013-06-01,0
Cadillac,ELR,Cadillac ELR,PHEV,2013,JUN,2013-06-01,0
Chevrolet,Volt,Chevrolet Volt,PHEV,2013,JUL,2013-07-01,1788
Nissan,LEAF,Nissan LEAF,BEV,2013,JUL,2013-07-01,1864
Tesla,Model S,Tesla Model S,BEV,2013,JUL,2013-07-01,1300
Toyota,Prius PHV,Toyota Prius PHV,PHEV,2013,JUL,2013-07-01,817
Ford,C-Max Energi,Ford C-Max Energi,PHEV,2013,JUL,2013-07-01,433
Ford,Fusion Energi,Ford Fusion Energi,PHEV,2013,JUL,2013-07-01,407
Fiat,500e,Fiat 500e,BEV,2013,JUL,2013-07-01,200
Ford,Focus Electric,Ford Focus Electric,BEV,2013,JUL,2013-07-01,150
Toyota,RAV4 EV,Toyota RAV4 EV,BEV,2013,JUL,2013-07-01,109
Mitsubishi,i-MiEV,Mitsubishi i-MiEV,BEV,2013,JUL,2013-07-01,46
smart,ED,smart ED,BEV,2013,JUL,2013-07-01,58
Honda,Fit EV,Honda Fit EV,BEV,2013,JUL,2013-07-01,63
Chevrolet,Spark EV,Chevrolet Spark EV,BEV,2013,JUL,2013-07-01,103
Honda,Accord PHV,Honda Accord PHV,PHEV,2013,JUL,2013-07-01,54
Porsche,Panamera S-E,Porsche Panamera S-E,PHEV,2013,JUL,2013-07-01,0
Cadillac,ELR,Cadillac ELR,PHEV,2013,JUL,2013-07-01,0
Chevrolet,Volt,Chevrolet Volt,PHEV,2013,AUG,2013-08-01,3351
Nissan,LEAF,Nissan LEAF,BEV,2013,AUG,2013-08-01,2420
Tesla,Model S,Tesla Model S,BEV,2013,AUG,2013-08-01,1300
Toyota,Prius PHV,Toyota Prius PHV,PHEV,2013,AUG,2013-08-01,1791
Ford,C-Max Energi,Ford C-Max Energi,PHEV,2013,AUG,2013-08-01,621
Ford,Fusion Energi,Ford Fusion Energi,PHEV,2013,AUG,2013-08-01,600
Fiat,500e,Fiat 500e,BEV,2013,AUG,2013-08-01,360
Ford,Focus Electric,Ford Focus Electric,BEV,2013,AUG,2013-08-01,175
Toyota,RAV4 EV,Toyota RAV4 EV,BEV,2013,AUG,2013-08-01,231
Mitsubishi,i-MiEV,Mitsubishi i-MiEV,BEV,2013,AUG,2013-08-01,30
smart,ED,smart ED,BEV,2013,AUG,2013-08-01,182
Honda,Fit EV,Honda Fit EV,BEV,2013,AUG,2013-08-01,66
Chevrolet,Spark EV,Chevrolet Spark EV,BEV,2013,AUG,2013-08-01,102
Honda,Accord PHV,Honda Accord PHV,PHEV,2013,AUG,2013-08-01,44
Porsche,Panamera S-E,Porsche Panamera S-E,PHEV,2013,AUG,2013-08-01,0
Cadillac,ELR,Cadillac ELR,PHEV,2013,AUG,2013-08-01,0
Chevrolet,Volt,Chevrolet Volt,PHEV,2013,SEP,2013-09-01,1766
Nissan,LEAF,Nissan LEAF,BEV,2013,SEP,2013-09-01,1953
Tesla,Model S,Tesla Model S,BEV,2013,SEP,2013-09-01,1500
