Model,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Tesla Model S,900,1750,3450,1125,1620,2350,1425,2150,4860,1120,1335,4975
Chevrolet Bolt EV,1162,952,978,1292,1566,1642,1971,2107,2632,2781,2987,3227
Tesla Model X,750,800,2750,715,1730,2200,1650,1575,3120,850,1875,3300
Toyota Prius Prime,1366,1362,1618,1819,1908,1619,1645,1820,1899,1626,1834,2420
Chevrolet Volt,1611,1820,2132,1807,1817,1745,1518,1445,1453,1362,1702,1937
Nissan LEAF,772,1037,1478,1063,1392,1506,1283,1154,1055,213,175,102
Ford Fusion Energi,606,837,1002,905,1000,707,703,762,763,741,731,875
Ford C-Max Energi,473,639,662,720,950,936,844,705,683,569,523,436
BMW i3 (BEV + REx),382,318,703,516,506,567,601,504,538,686,283,672
Fiat 500e,752,590,785,541,473,359,395,290,285,310,215,385
BMWX5 xDrive 40e,262,275,397,291,433,488,463,317,333,329,929,832
Chrysler Pacifica Hybrid,12,0,0,335,705,355,125,425,475,875,570,720
BMW 330e,129,144,365,260,475,496,387,409,329,307,477,363
BMW 530e,0,0,0,13,147,239,343,345,511,596,872,706
Volkswagen e-Golf,332,293,342,307,381,232,308,317,187,203,289,343
Audi A3 Sportback e-tron,387,400,414,301,294,324,218,129,85,17,38,270
Hyundai Sonata PHEV,190,175,295,280,220,255,205,185,190,210,135,195
Volvo XC90 T8 PHEV,96,83,103,145,146,202,174,265,236,174,204,368
Kia Soul EV,117,152,171,167,129,100,145,300,255,210,207,204
Ford Focus Electric,56,228,407,125,132,110,148,131,131,115,121,113
Tesla Model 3,0,0,0,0,0,0,30,75,117,145,337,1060
Porsche Cayenne S-E,177,121,126,185,174,195,160,178,124,73,38,23
Kia Optima PHEV,10,61,70,86,85,78,130,182,228,235,213,134
Honda Clarity BEV,0,0,0,0,0,0,34,15,52,34,459,527
Honda Clarity PHEV,0,0,0,0,0,0,0,0,0,0,5,898
Mercedes C350e,210,51,17,3,7,0,112,212,126,49,16,14
Mercedes B250e,53,56,50,66,46,46,81,58,87,59,31,111
BMW 740e,18,35,42,123,33,52,80,39,43,55,120,67
Mercedes S550e,55,51,60,81,83,81,124,32,35,16,22,26
smart ED,15,22,13,3,1,3,0,94,123,73,68,129
Volvo XC60 PHEV,0,0,0,0,0,0,13,65,97,100,82,174
BMW i8,50,58,49,23,18,22,55,29,27,33,44,80
Mini Countryman SE PHEV,0,0,0,0,0,10,75,86,80,56,96,72
Mercedes GLE 550e,52,59,47,36,33,41,27,23,14,8,41,82
Hyundai IONIQ EV,0,0,5,19,75,58,43,66,36,28,23,79
Cadillac CT6 PHEV,0,0,0,8,16,20,22,23,27,27,29,35
Volvo S90 T8 PHEV,0,0,0,0,0,0,0,0,5,28,32,52
Mitsubishi Outlander PHEV,0,0,0,0,0,0,0,0,0,0,0,99
Chevrolet Spark EV,4,4,3,1,0,1,1,0,0,0,7,2
Porsche Panamera E-Hybrid,2,1,3,2,1,0,0,1,1,2,5,0
Cadillac ELR,3,0,2,2,0,7,2,1,0,0,0,0
Mitsubishi i-MiEV,1,3,2,0,0,0,0,0,0,0,0,0
